Year,AgeGroup5,Deaths,Population,CrudeRate
2010,10-14,522,20677194,2.5
2010,15-19,647,22040343,2.9
2011,10-14,449,20704852,2.2
2011,15-19,683,21644043,3.2
2012,10-14,512,20669218,2.5
2012,15-19,658,21360702,3.1
2013,10-14,479,20650454,2.3
2013,15-19,665,21158964,3.1
2014,10-14,454,20671506,2.2
2014,15-19,650,21067647,3.1
2015,10-14,461,20622330,2.2
2015,15-19,622,21108903,2.9
2016,10-14,459,20618233,2.2
2016,15-19,633,21129999,3
2017,10-14,468,20778454,2.3
2017,15-19,593,21131660,2.8
2018,10-14,480,20879527,2.3
2018,15-19,661,21097221,3.1
2019,10-14,439,20798268,2.1
2019,15-19,617,21054570,2.9
2020,10-14,437,20754423,2.1
2020,15-19,578,20960929,2.8
2021,10-14,479,21447784,2.2
2021,15-19,635,21564666,2.9
2022,10-14,477,20889839,2.3
2022,15-19,672,21635792,3.1
2023,10-14,485,20834564,2.3
2023,15-19,693,22075480,3.1
